loc_rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition
1,11446443,K00001.01,Kepler-1 b,CONFIRMED,CANDIDATE
2,10666592,K00002.01,Kepler-2 b,CONFIRMED,CANDIDATE
3,10748390,K00003.01,Kepler-3 b,CONFIRMED,CANDIDATE
4,3861595,K00004.01,Kepler-1658 b,CONFIRMED,CANDIDATE
5,8554498,K00005.01,,CANDIDATE,CANDIDATE
6,8554498,K00005.02,,FALSE POSITIVE,FALSE POSITIVE
7,3248033,K00006.01,,FALSE POSITIVE,FALSE POSITIVE
8,11853905,K00007.01,Kepler-4 b,CONFIRMED,CANDIDATE
9,5903312,K00008.01,,FALSE POSITIVE,FALSE POSITIVE
10,11553706,K00009.01,,FALSE POSITIVE,FALSE POSITIVE
11,6922244,K00010.01,Kepler-8 b,CONFIRMED,CANDIDATE
12,11913073,K00011.01,,FALSE POSITIVE,FALSE POSITIVE
13,5812701,K00012.01,Kepler-448 b,CONFIRMED,CANDIDATE
14,9941662,K00013.01,Kepler-13 b,CONFIRMED,CANDIDATE
15,7684873,K00014.01,,FALSE POSITIVE,FALSE POSITIVE
16,3964562,K00015.01,,FALSE POSITIVE,FALSE POSITIVE
17,9110357,K00016.01,,FALSE POSITIVE,FALSE POSITIVE
18,10874614,K00017.01,Kepler-6 b,CONFIRMED,CANDIDATE
19,8191672,K00018.01,Kepler-5 b,CONFIRMED,CANDIDATE
20,7255336,K00019.01,,FALSE POSITIVE,FALSE POSITIVE
21,11804465,K00020.01,Kepler-12 b,CONFIRMED,CANDIDATE
22,10125352,K00021.01,,FALSE POSITIVE,FALSE POSITIVE
23,9631995,K00022.01,Kepler-422 b,CONFIRMED,CANDIDATE
24,9071386,K00023.01,,FALSE POSITIVE,FALSE POSITIVE
25,4743513,K00024.01,,FALSE POSITIVE,FALSE POSITIVE
26,10593759,K00025.01,,FALSE POSITIVE,FALSE POSITIVE
27,5021737,K00026.01,,FALSE POSITIVE,FALSE POSITIVE
28,3832716,K00027.01,,FALSE POSITIVE,FALSE POSITIVE
29,4247791,K00028.01,,FALSE POSITIVE,FALSE POSITIVE
30,6956014,K00031.01,,FALSE POSITIVE,FALSE POSITIVE
31,5725087,K00033.01,,FALSE POSITIVE,FALSE POSITIVE
32,6521045,K00041.01,Kepler-100 c,CONFIRMED,CANDIDATE
33,6521045,K00041.02,Kepler-100 b,CONFIRMED,CANDIDATE
34,6521045,K00041.03,Kepler-100 d,CONFIRMED,CANDIDATE
35,8866102,K00042.01,Kepler-410 A b,CONFIRMED,CANDIDATE
36,9025922,K00043.01,,FALSE POSITIVE,FALSE POSITIVE
37,8845026,K00044.01,,FALSE POSITIVE,FALSE POSITIVE
38,3742855,K00045.01,,FALSE POSITIVE,FALSE POSITIVE
39,10905239,K00046.01,Kepler-101 b,CONFIRMED,CANDIDATE
40,10905239,K00046.02,Kepler-101 c,CONFIRMED,CANDIDATE
41,7837302,K00048.01,,FALSE POSITIVE,FALSE POSITIVE
42,9527334,K00049.01,Kepler-461 b,CONFIRMED,CANDIDATE
