loc_rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
1,11446443,K00001.01,Kepler-1 b,CONFIRMED,CANDIDATE,,0,0,0,0,2.470613377,2.70E-08,-2.70E-08,122.763305,8.70E-06,-8.70E-06,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,286.80847,49.316399,11.338
2,10666592,K00002.01,Kepler-2 b,CONFIRMED,CANDIDATE,,0,1,0,0,2.204735417,4.30E-08,-4.30E-08,121.3585417,1.60E-05,-1.60E-05,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,292.24728,47.969521,10.463
3,10748390,K00003.01,Kepler-3 b,CONFIRMED,CANDIDATE,,0,0,0,0,4.887803076,4.66E-07,-4.66E-07,124.8130808,7.51E-05,-7.51E-05,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,297.70935,48.080853,9.174
4,3861595,K00004.01,Kepler-1658 b,CONFIRMED,CANDIDATE,,0,0,0,0,3.849371737,2.34E-06,-2.34E-06,157.526686,4.88E-04,-4.88E-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,294.35654,38.94738,11.432
5,8554498,K00005.01,,CANDIDATE,CANDIDATE,,0,0,0,0,4.780327581,8.52E-07,-8.52E-07,132.974086,1.48E-04,-1.48E-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,289.73972,44.647419,11.665
6,8554498,K00005.02,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,7.05185637,,,133.3669015,,,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,289.73972,44.647419,11.665
7,3248033,K00006.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,1,1,1.334101467,1.66E-06,-1.66E-06,133.703081,9.83E-04,-9.83E-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,294.59955,38.366772,12.161
8,11853905,K00007.01,Kepler-4 b,CONFIRMED,CANDIDATE,,0,0,0,0,3.213668926,1.09E-06,-1.09E-06,123.611878,2.74E-04,-2.74E-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,285.61533,50.13575,12.211
9,5903312,K00008.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,1,1,1.16015259,8.68E-07,-8.68E-07,121.704645,6.73E-04,-6.73E-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,298.66101,41.13789,12.45
10,11553706,K00009.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,1,0,3.719809197,9.39E-07,-9.39E-07,135.068298,2.06E-04,-2.06E-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,288.80377,49.530788,13.123
