weight,gripForce
55.4,32.8
53.6,39.4
78.4,52.6
50.6,33.1
4.8,26.6
58.3,44.6
53.0,32.3
67.8,52.3
81.9,37.6
76.0,62.4
70.7,50.0
66.0,49.0
59.6,43.4
77.3,49.8
48.6,32.8
72.9,55.0
80.2,77.2
76.4,48.6
52.6,33.0
69.5,48.0
9.2,50.9
52.9,42.7
61.2,26.5
67.4,62.2
195.6,32.5
87.7,72.4
58.0,36.2
58.0,32.3
56.8,33.2
84.5,49.4
49.4,26.6
7.6,32.8
74.3,44.4
68.4,56.6
77.3,43.8
86.9,62.0
50.2,23.8
73.2,46.4
46.4,29.3
63.0,47.6
70.6,49.9
62.2,47.5
87.7,48.5
88.0,53.4
73.4,52.0
52.3,29.3
53.6,35.2
53.7,26.2
109.2,44.3
51.3,31.4
87.7,55.0
52.1,27.7
78.9,44.5
78.0,27.2
0.4,56.9
68.8,41.0
85.6,48.8
91.6,33.7
65.0,35.2
87.8,64.2
60.3,190.92029
55.9,48.2
62.3,36.7
68.0,48.4
54.3,38.5
63.9,36.6
152.9,67.7
63.9,36.0
71.8,123.451385
65.7,46.7
56.4,34.2
55.9,162.40762
0.2,52.3
89.4,57.2
70.9,38.3
74.5,53.0
76.0,55.8
72.2,54.5
68.6,58.4
65.6,56.8
72.4,33.0
70.4,55.7
74.2,51.0
79.8,55.8
71.8,49.9
54.4,41.5
53.8,41.3
69.1,52.2
68.5,55.3
87.9,28.8
62.0,24.8
54.0,32.2
76.0,62.8
83.9,56.8
65.2,37.6
64.6,44.8
69.8,54.0
61.0,34.8
69.8,54.2
51.6,56.5
75.0,46.0
63.2,33.1
78.6,52.4
59.7,44.8
154.1,51.2
81.7,56.4
60.9,33.4
67.3,23.5
52.1,31.6
90.4,38.4
71.1,61.4
87.3,63.6
81.7,61.6
81.4,55.0
54.0,36.1
50.0,33.1
61.0,40.0
74.9,55.0
66.4,30.0
65.2,53.0
74.5,55.9
1.0,45.7
54.5,43.1
59.7,33.2
63.0,39.4
72.7,57.7
75.5,61.7
69.4,198.78494
73.6,39.5
70.6,48.5
71.4,51.4
50.7,27.1
60.0,36.7
58.4,32.5
91.2,198.334
63.1,40.9
62.5,49.2
55.0,28.8
74.5,171.3142
73.3,47.5
77.5,42.7
82.5,65.0
53.0,34.7
49.8,30.2
7.9,27.1
63.5,33.0
70.3,52.2
57.1,37.0
79.6,52.6
64.6,52.7
84.2,43.4
166.3,52.2
62.8,58.8
51.5,26.0
54.2,28.8
80.4,62.3
52.0,33.0
74.4,47.3
49.8,23.9
72.4,53.8
73.7,58.4
70.9,59.3
2.4,57.6
74.5,190.14162
60.8,44.5
80.7,51.6
46.6,21.7
84.3,42.8
55.6,30.4
75.7,54.5
88.9,50.2
52.6,39.1
81.2,60.0
nan,51.7
